City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,yarmouth,US,41.7057,-70.2286,46.4,41.0,34,1,18.41,clear sky
230,mandera,KE,3.9366,41.867,85.5,85.5,52,35,5.93,scattered clouds
231,kudat,MY,6.8837,116.8477,78.8,78.01,94,40,3.44,scattered clouds
232,broken hill,AU,-31.95,141.4333,66.2,66.2,68,100,12.66,overcast clouds
233,male,MV,4.1748,73.5089,82.4,82.4,83,75,6.91,broken clouds
234,joensuu,FI,62.6012,29.7632,30.0,28.4,100,90,8.05,light snow
235,polunochnoye,RU,60.8697,60.4153,0.23,0.23,95,98,5.75,overcast clouds
236,ugoofaaru,MV,5.6667,73.0,82.92,82.92,69,0,6.4,clear sky
237,tacuati,PY,-23.45,-56.5833,79.27,79.27,83,96,3.27,overcast clouds
238,saint-augustin,CA,51.226,-58.6502,17.69,17.69,77,33,6.46,scattered clouds
239,torbay,CA,47.6666,-52.7314,25.0,23.0,68,75,17.27,broken clouds
240,kaeo,NZ,-35.1,173.7833,66.99,66.99,69,5,8.99,clear sky
241,erenhot,CN,43.6475,111.9767,23.5,23.5,34,0,12.64,clear sky
242,ostrovnoy,RU,68.0531,39.5131,16.81,16.81,93,64,14.43,broken clouds
243,fortuna,US,40.5982,-124.1573,55.0,50.0,81,75,11.5,broken clouds
244,katete,UG,-0.7818,29.7544,63.48,63.48,80,96,3.02,overcast clouds
245,flinders,AU,-34.5833,150.8552,69.01,69.01,91,100,3.0,light rain
246,birjand,IR,32.8663,59.2211,42.8,42.8,19,0,9.22,clear sky
247,bathsheba,BB,13.2167,-59.5167,77.4,77.4,75,100,16.69,overcast clouds
248,ortakoy,TR,38.7373,34.0387,44.6,44.6,70,75,8.05,broken clouds
249,hami,CN,42.8,93.45,33.89,33.89,16,0,4.21,clear sky
250,fare,PF,-16.7,-151.0167,83.07,83.07,67,10,7.58,light rain
251,grand baie,MU,-20.0182,57.5802,80.01,80.01,84,11,8.99,light rain
252,lukulu,ZM,-14.3707,23.242,66.27,66.27,92,0,3.85,clear sky
253,wajima,JP,37.4,136.9,52.56,52.56,91,100,3.91,overcast clouds
254,miri,MY,4.4148,114.0089,77.0,77.0,100,40,2.3,scattered clouds
255,atambua,ID,-9.1061,124.8925,74.46,74.46,85,46,2.3,scattered clouds
256,teya,RU,60.3778,92.6267,19.31,19.31,96,100,4.45,overcast clouds
257,reconquista,AR,-29.15,-59.65,68.11,68.11,94,100,14.47,light rain
258,kyzyl,RU,51.7,94.45,6.13,6.13,82,27,1.12,scattered clouds
259,yunyang,CN,33.4474,112.7142,46.94,46.94,31,100,8.68,overcast clouds
260,saint-philippe,RE,-21.3585,55.7679,78.8,64.99,78,20,10.36,light rain
261,airai,TL,-8.9266,125.4092,60.35,60.35,84,51,2.48,broken clouds
262,jablanica,BA,43.6603,17.7617,46.4,33.8,39,20,3.44,few clouds
263,anchorage,US,61.2181,-149.9003,19.0,14.0,48,90,8.05,overcast clouds
264,oranjestad,AW,12.524,-70.027,82.4,82.4,74,40,20.71,scattered clouds
265,beloha,MG,-25.1667,45.05,74.39,74.39,79,2,6.06,clear sky
266,mercedes,AR,-34.6515,-59.4307,69.01,69.01,63,77,3.0,broken clouds
267,najran,SA,17.4924,44.1277,69.8,69.8,23,0,0.54,clear sky
268,magadan,RU,59.5667,150.8,2.95,2.95,84,68,3.09,broken clouds
269,karakol,KG,42.4907,78.3936,35.85,35.85,42,37,5.08,scattered clouds
270,port blair,IN,11.6667,92.75,77.47,77.47,75,85,3.83,overcast clouds
271,gizo,SB,-8.103,156.8419,81.84,81.84,79,95,5.5,overcast clouds
272,chumphon,TH,10.3333,98.8333,69.06,69.06,95,53,0.22,broken clouds
273,karasjok,NO,69.4719,25.5112,30.2,30.2,74,0,6.91,light snow
274,dakoro,NE,14.5106,6.765,88.02,88.02,15,98,7.05,overcast clouds
275,nipawin,CA,53.3668,-104.0009,46.4,44.6,57,1,3.44,clear sky
276,ferrol,ES,43.4832,-8.2369,48.99,44.01,57,0,13.8,clear sky
277,escanaba,US,45.7453,-87.0646,48.99,46.4,46,1,12.66,clear sky
278,nyurba,RU,63.2842,118.3319,-20.74,-20.74,87,74,11.1,broken clouds
279,mount isa,AU,-20.7333,139.5,75.2,75.2,83,100,5.75,overcast clouds
280,ribeira grande,PT,38.5167,-28.7,60.8,60.8,72,20,14.97,few clouds
281,kikwit,CD,-5.041,18.8162,71.49,71.49,95,95,1.92,overcast clouds
282,toyooka,JP,35.5333,134.8333,57.2,57.2,94,75,9.22,broken clouds
283,hounde,BF,11.5,-3.5167,83.8,83.8,40,11,4.9,few clouds
284,clyde river,CA,70.4692,-68.5914,-14.8,-14.8,84,1,2.3,clear sky
285,samarai,PG,-10.6167,150.6667,83.7,83.7,76,100,6.22,overcast clouds
286,arlit,NE,18.7369,7.3853,82.35,82.35,7,11,6.96,few clouds
287,vila velha,BR,-20.3297,-40.2925,80.6,80.6,74,20,4.61,few clouds
288,itororo,BR,-15.1169,-40.0703,71.2,71.2,91,98,4.09,overcast clouds
